ability_1,ability_2,win_rate
Glimpse,Kinetic Field,48.3
Aftershock,Static Remnant,61.93
Cold Feet,Chilling Touch,48.42
Stifling Dagger,Phantom Strike,47.46
Poison Attack,Nethertoxin,48.46
Terrorblade,Sunder,48.86
Homing Missile,Call Down,50.64
Acid Spray,Unstable Concoction,47.54
Shallow Grave,Shadow Wave,52.05
Ancient Seal,Mystic Flare,45.4
Voodoo Restoration,Death Ward,53.84
Torrent,X Marks the Spot,50.32
Troll Warlord,Whirling Axes (Melee),43.63
Poison Touch,Shallow Grave,48.25
Flak Cannon,Call Down,52.77
Scatterblast,Mortimer Kisses,50.83
Saltwater Shiv,Shadow Dance,53.6
Broodmother,Spawn Spiderlings,42.5
Enchant Totem,Aftershock,52.41
Aphotic Shield,Borrowed Time,54.49
Spiked Carapace,Vendetta,49.95
Pangolier,Shield Crash,50.84
Tame the Beasts,Impalement Arts,47.44
Earth Spirit,Boulder Smash,46.54
Press The Attack,Moment of Courage,48.88
Light Strike Array,Fiery Soul,49.95
Astral Spirit,Natural Order,61.22
Repel,Purification,55.49
Abaddon,Curse of Avernus,47.18
Spawn Spiderlings,Incapacitating Bite,52.74
Kez,Unknown Ability #1520,49.2
Sleight of Fist,Fire Remnant,44.8
Blink Strike,Cloak and Dagger,47.77
Shockwave,Skewer,47.86
Fatal Bonds,Shadow Word,48.28
Firefly,Flaming Lasso,46.85
Blade Dance,Blade Fury,45.71
Sticky Napalm,Flamebreak,47.23
Doom,Infernal Blade,46.9
Hammer of Purity,Purification,52.34
Marci,Dispose,46.41
Concussive Shot,Ancient Seal,50.0
Astral Spirit,Echo Stomp,47.79
Tame the Beasts,Escape Act,49.38
Shadow Demon,Shadow Poison,46.01
Outworld Devourer,Essence Flux,54.53
Unknown Ability #1519,Unknown Ability #1520,46.87
Brain Sap,Nightmare,45.8
Chen,Hand of God,47.73
Hoof Stomp,Retaliate,52.08
Huskar,Voodoo Restoration,53.64
Concussive Shot,Mystic Flare,52.09
Winter Wyvern,Cold Embrace,53.76
Visage,Gravekeeper's Cloak,44.34
Undying,Flesh Golem,44.48
Static Remnant,Electric Vortex,42.86
The Swarm,Time Lapse,52.74
Meat Shield,Dismember,46.82
Stinger,Sand Storm,54.9
Monkey King,Tree Dance,43.04
Sacred Arrow,Leap,54.18
Cloak and Dagger,Tricks of the Trade,44.23
Howl,Feral Impulse,52.42
Arcane Orb,Astral Imprisonment,49.85
Lone Druid,Summon Spirit Bear,36.08
Kez,Unknown Ability #1518,50.69
Bloodrage,Blood Rite,44.04
Shrapnel,Headshot,53.94
Time Zone,Time Lock,47.01
Spin Web,Insatiable Hunger,54.21
Searing Chains,Fire Remnant,51.46
Treant Protector,Living Armor,44.75
Spectral Dagger,Dispersion,62.55
Frogstomp,Croak of Genius,49.44
Lone Druid,True Form,44.68
Void,Dark Ascension,45.27
Broodmother,Incapacitating Bite,44.2
Thunder Strike,Static Storm,52.4
Wave of Terror,Nether Swap,48.31
Laser,March of the Machines,39.98
Firestorm,Pit of Malice,56.5
Blink,Mana Void,48.57
Overwhelming Odds,Press The Attack,52.67
Cold Feet,Ice Vortex,54.92
Ether Shock,Hex,47.75
Powershot,Focus Fire Facet,41.36
Noxious Plague,Plague Ward,47.9
Frogstomp,Amphibian Rhapsody,48.69
Smoke Screen,Tricks of the Trade,48.68
Chilling Touch,Ice Blast,52.22
Mana Break,Blink,50.85
Faceless Void,Time Zone,43.72
Meld,Psionic Trap,41.53
Mist Coil,Aphotic Shield,50.8
Refraction,Psionic Trap,47.97
Alchemist,Corrosive Weaponry,42.41
Devour,Infernal Blade,49.09
Tusk,Drinking Buddies,47.27
Escape Act,Wheel of Wonder,52.03
Phoenix,Sun Ray,49.79
Demonic Summoning,Black Hole,47.75
Fortune's End,Purifying Flames,49.57
Nature's Grasp,Overgrowth,49.36
Spectral Blade,Reincarnation,51.34
Untouchable,Enchant,47.69
Split Shot,Mystic Snake,49.57
Whirling Death,Chakram,49.14
Breathe Fire,Dragon Tail,48.65
X Marks the Spot,Ghostship,47.94
Mortimer Kisses,Firesnap Cookie,50.05
Mars,Bulwark,50.22
Unknown Ability #1517,Unknown Ability #1519,46.1
Moonlight Shadow,Starstorm,46.8
Shadowraze,Presence of the Dark Lord,53.37
Slithereen Crush,Bash of the Deep,50.16
Saltwater Shiv,Pounce,49.07
Marci,Unleash,45.24
Ice Vortex,Ice Blast,55.87
Rolling Boulder,Magnetize,54.31
Paralyzing Cask,Voodoo Restoration,55.43
Thunder Strike,Kinetic Field,51.4
Vengeance Aura,Wave of Terror,52.93
Mirror Image,Song of the Siren,50.4
Techies,Proximity Mines,52.49
Toss,Tree Grab,45.51
Purification,Guardian Angel,48.58
Time Walk,Chronosphere,53.48
Saltwater Shiv,Dark Pact,47.77
Storm Hammer,Warcry,56.19
Corrosive Weaponry,Acid Spray,47.82
Fireblast,Ignite,51.03
Defense Matrix,Rearm,40.39
Keeper of the Light,Voodoo Restoration,53.47
Summon Wolves,Howl,49.07
Underlord,Atrophy Aura,54.31
Rocket Barrage,Call Down,45.09
Impale,Spiked Carapace,57.26
Magic Missile,Vengeance Aura,59.72
Arena Of Blood,God's Rebuke,48.82
Liquid Fire,Macropyre,51.3
Wild Axes,Inner Beast,49.65
Searing Chains,Flame Guard,48.7
Illuminate,Spirit Form,50.0
Blade Dance,Healing Ward,46.32
Crippling Fear,Dark Ascension,52.44
Kazurai Katana,Unknown Ability #1520,48.21
Malefice,Midnight Pulse,53.28
Mind Flare,Spiked Carapace,49.7
Decay,Tombstone,54.44
Spawn Spiderlings,Insatiable Hunger,44.54
Decrepify,Nether Ward,49.04
Medusa,Mana Drain,57.95
Split Earth,Lightning Storm,48.25
Diabolic Edict,Lightning Storm,44.87
Whirling Axes (Ranged),Fervor,44.62
Splinter Blast,Cold Embrace,53.09
Sticky Bomb,Proximity Mines,53.28
Reactive Armor,Chakram,45.53
Kazurai Katana,Unknown Ability #1517,49.2
Impalement Arts,Aftershock,55.61
Ice Shards,Walrus PUNCH!,48.39
Shadow Step,Dispersion,51.8
Shockwave,Reverse Polarity,47.64
Bone Guard,Mortal Strike,47.89
Gush,Kraken Shell,50.12
Exorcism,Spirit Siphon,50.75
Decay,Soul Rip,50.37
Soul Rip,Tombstone,51.13
Fireblast,Bloodlust,45.35
Raptor Dance,Unknown Ability #1517,48.29
Time Walk,Time Lock,54.06
Bramble Maze,Cursed Crown,52.86
Ice Shards,Snowball,55.2
Timber Chain,Reactive Armor,46.33
Avalanche,Grow,53.22
Mirror Image,Ensnare,51.35
Bristleback,Warpath,42.45
Tombstone,Flesh Golem,51.04
Liquid Frost,Dual Breath,49.67
Nature's Prophet,Nature's Call,39.27
Gorgon's Grasp,Mystic Snake,50.85
Crypt Swarm,Silence,46.8
Sticky Bomb,Reactive Tazer,53.99
Entangle,True Form,47.84
Sniper,Assassinate,49.41
Unknown Ability #1517,Unknown Ability #1520,44.78
Winter Wyvern,Winter's Curse,46.5
Void,Crippling Fear,49.34
Deluge,Mirror Image,48.34
Gorgon's Grasp,Split Shot,46.13
Techies,Inner Beast,55.94
Fiend's Gate,Firestorm,51.27
Frost Blast,Frost Shield,50.6
Headshot,Assassinate,39.54
Fiend's Gate,Pit of Malice,48.12
Nothl Projection,Shadow Wave,41.72
Starbreaker,Solar Guardian,52.57
Hoof Stomp,Stampede,52.64
Oracle,False Promise,52.23
Thunder Clap,Drunken Brawler,50.82
Sleight of Fist,Flame Guard,43.4
Boulder Smash,Rolling Boulder,48.57
Aftershock,Death Pulse,59.89
Icarus Dive,Supernova,50.14
Magic Missile,Wave of Terror,50.48
Whirling Axes (Melee),Fervor,44.28
Kazurai Katana,Raptor Dance,47.85
Press The Attack,Duel,49.37
Keeper of the Light,Pulse Nova,44.99
Huskar,Ball Lightning,50.28
Tether,Spirits,55.52
Scorched Earth,Infernal Blade,51.9
Elder Titan,Echo Stomp,47.67
Echo Slash,Kazurai Katana,51.91
Double Edge,Stampede,49.57
Liquid Frost,Macropyre,48.93
Visage,Summon Familiars,44.48
Bristleback,Warpath,50.07
Vengeance Aura,Nether Swap,51.66
Naga Siren,Juxtapose,55.12
Death Prophet,Spirit Siphon,53.4
Echo Slash,Raptor Dance,46.96
Sniper,Corrosive Weaponry,59.07
Dissimilate,Astral Step,49.49
Moon Glaives,Eclipse,46.01
Defense Matrix,Laser,43.96
Gunslinger,Pierce the Veil,48.2
Arc Warden,Spark Wraith,46.23
Sniper,Marksmanship,57.25
Whirling Axes (Melee),Battle Trance,50.99
Rubick,Arcane Supremacy,50.08
Dissimilate,Aether Remnant,49.85
Nothl Projection,Shallow Grave,42.94
Jakiro,Corrosive Weaponry,48.3
Templar Assassin,Psionic Trap,39.26
Raptor Dance,Unknown Ability #1519,44.27
Grappling Claw,Raptor Dance,45.58
Fire Spirits,Supernova,53.34
Chaos Bolt,Phantasm,50.54
Centaur Warrunner,Dispersion,63.11
Medusa,Arcane Aura,55.1
Naga Siren,Song of the Siren,50.39
Techies,Strafe,55.84
Whirling Axes (Ranged),Battle Trance,49.53
Time Zone,Time Walk,53.75
Sharpshooter,Bushwhack,48.88
Keeper of the Light,Ball Lightning,56.89
Techies,Corrosive Weaponry,54.66
Infest,Tether,64.72
Dual Breath,Liquid Fire,47.48
Malefice,Demonic Summoning,44.72
Rocket Flare,Hookshot,46.18
Earth Spirit,Magnetize,51.95
Techies,Marksmanship,49.67
Mars,Spear of Mars,54.1
Trample,Windrun,55.83
Storm Hammer,God's Strength,48.52
Gush,Anchor Smash,53.05
Techies,Frost Arrows,51.49
Arctic Burn,Winter's Curse,58.18
Chaos Bolt,Reality Rift,51.16
Icarus Dive,Fire Spirits,51.99
Bodyguard,Unleash,55.98
Rearm,Rocket Flare,37.0
Keeper of the Light,Impetus,47.67
Medusa,Burning Spear,68.39
Techies,Bloodrage,56.78
Aftershock,Shadow Poison,51.09
Shadow Word,Upheaval,47.64
Rupture,Meat Hook,47.14
Juggernaut,Great Cleave,50.34
Arc Lightning,Lightning Bolt,45.12
Dragon Knight,Corrosive Skin,63.74
Storm Hammer,Great Cleave,51.1
Trample,Blade Fury,54.9
Grave Chill,Gravekeeper's Cloak,46.51
Corrosive Weaponry,Unstable Concoction,48.55
Teleportation,Nature's Call,39.04
Keeper of the Light,Shadow Poison,41.51
Centaur Warrunner,Corrosive Skin,56.97
Voodoo Restoration,Infest,53.97
Arena Of Blood,Spear of Mars,51.55
Boundless Strike,Jingu Mastery,45.6
Finger of Death,Decrepify,43.87
Feast of Souls,Shadowraze,43.94
Trample,Thirst,58.54
Poison Attack,Corrosive Skin,54.53
Drinking Buddies,Walrus PUNCH!,42.16
Disseminate,Demonic Purge,49.91
Flame Guard,Fire Remnant,50.79
Trample,Shukuchi,57.09
Sniper,God's Strength,62.08
Keeper of the Light,Wild Axes,50.97
Soul Assumption,Gravekeeper's Cloak,42.73
Wraithfire Blast,Bone Guard,46.81
Reactive Tazer,Proximity Mines,49.91
Tidebringer,God's Strength,47.66
Troll Warlord,Bash of the Deep,54.5
Spectre,Juxtapose,50.9
Chaos Knight,Juxtapose,44.22
Voodoo Restoration,Maledict,53.07
Freezing Field,Windrun,62.07
Aftershock,Shadowraze,50.45
Echo Slash,Grappling Claw,48.18
Arc Warden,Bash of the Deep,54.73
Ember Spirit,Sticky Napalm,54.18
Oracle,Fate's Edict,45.36
Dead Shot,Gunslinger,46.63
Muerta,Decrepify,48.63
Aftershock,Nether Blast,54.21
Reflection,Sunder,52.56
Metamorphosis,Sunder,47.89
Grappling Claw,Unknown Ability #1517,46.42
Slark,Phantom Rush,39.08
Echo Slash,Unknown Ability #1519,45.84
Grimstroke,Phantom's Embrace,54.07
Treant Protector,Enchant Totem,50.56
Sniper,Frost Arrows,53.52
Vengeful Spirit,Bash of the Deep,50.65
Viper,Bash of the Deep,48.23
Windranger,Bash of the Deep,55.87
Whirling Axes (Ranged),Whirling Axes (Melee),50.65
Techies,Feast of Souls,50.93
Arc Warden,Elder Dragon Form,44.96
Curse of Avernus,Borrowed Time,58.32
Grappling Claw,Kazurai Katana,47.66
Juggernaut,Tree Grab,55.14
Vacuum,Surge,48.13
Trample,Enchant Totem,54.03
Frost Arrows,Gust,48.31
Arc Warden,Fury Swipes,59.32
Crippling Fear,Sticky Napalm,61.25
Rearm,Fatal Bonds,45.18
Grappling Claw,Unknown Ability #1519,46.49
Meat Shield,Meat Hook,47.53
Living Armor,Overgrowth,53.33
Blade Fury,Freezing Field,58.97
Sniper,Bodyguard,67.5
Rearm,Nether Ward,56.43
Soulbind,Stroke of Fate,50.48
Sun Ray,Supernova,49.33
Io,Infest,57.72
Techies,Meld,51.35
Techies,Bodyguard,59.77
Shadow Fiend,Nightmare,56.2
Muerta,Ghost Shroud,50.39
Sniper,Strafe,55.23
Terrorblade,Tree Grab,58.83
Mirana,Marksmanship,40.39
Disseminate,Disruption,59.22
Terrorblade,Great Cleave,59.34
Mars,Grow,57.5
Monkey King,Tree Grab,48.54
Ice Path,Liquid Fire,52.24
Spectre,Phantom Rush,42.58
Drow Ranger,Bodyguard,67.91
Summon Spirit Bear,Entangle,31.7
Slark,Tricks of the Trade,43.44
Aether Remnant,Astral Step,57.93
Huskar,Decay,53.92
Alchemist,Ion Shell,44.99
Jakiro,Searing Arrows,49.21
Troll Warlord,Fury Swipes,56.1
Black Hole,Vacuum,53.85
Strafe,Bash of the Deep,50.3
Shuriken Toss,Aftershock,55.73
Huskar,Death Pulse,49.9
Dragon Knight,Heartstopper Aura,65.94
Enchant Totem,Grow,46.03
Death Ward,Penitence,49.4
Demonic Summoning,Midnight Pulse,49.01
Grave Chill,Summon Familiars,45.53
Shadow Step,Mana Break,45.42
Fissure,Rearm,48.7
Elder Titan,Earth Splitter,48.3
Arc Warden,Marksmanship,48.9
Alchemist,Wrath of Nature,46.11
Cloak and Dagger,Nether Blast,48.6
Techies,Incapacitating Bite,56.0
Blink,Slithereen Crush,55.22
Lifestealer,Tree Grab,56.83
Mirana,Bash of the Deep,50.6
Huskar,Brain Sap,49.2
Sniper,Inner Beast,59.15
Slark,Phantom Strike,53.32
Echo Slash,Unknown Ability #1520,49.5
Fiery Soul,Wave of Terror,53.12
Rearm,Shallow Grave,45.16
Assassinate,Meld,47.78
Shadow Fiend,Bodyguard,65.25
Lina,Shadow Strike,49.8
Lich,Sinister Gaze,50.4
Lina,Dual Breath,51.01
Lunar Orbit,Lucent Beam,47.46
Keeper of the Light,Arcane Bolt,48.48
Aphotic Shield,Curse of Avernus,58.01
Slark,Nightmare,46.25
Sacred Arrow,Rearm,52.33
Lina,Arcane Curse,54.67
Penitence,Hand of God,51.42
Lina,Noxious Plague,55.4
Tinker,Sacred Arrow,54.38
Rot,Infest,65.17
Aftershock,Viscous Nasal Goo,62.58
Brewmaster,Tree Grab,51.84
Freezing Field,Shukuchi,65.16
Chaos Bolt,Chaos Strike,48.98
Shadow Poison,Demonic Purge,43.65
Cloak and Dagger,Upheaval,47.54
Dragon Knight,Dispersion,67.76
Blade Fury,Healing Ward,55.65
Keeper of the Light,Poison Attack,45.79
Monkey King,Wukong's Command,52.06
Sniper,Doppelganger,59.67
Summon Spirit Bear,Infest,38.68
Aftershock,Lightning Storm,57.2
Techies,Saltwater Shiv,51.13
Lone Druid,Savage Roar,45.77
Bounty Hunter,Stifling Dagger,54.85
Avalanche,Tree Grab,54.75
Overload,Stifling Dagger,46.9
Lifestealer,Great Cleave,53.83
Bloodseeker,Tree Grab,54.45
Mass Serpent Ward,Vengeance Aura,57.56
Blood Rite,Rearm,43.48
Arc Warden,Psi Blades,50.1
Shadow Fiend,Strafe,62.94
Hammer of Purity,Stifling Dagger,49.59
Arc Warden,Juxtapose,55.0
Dark Willow,Cursed Crown,43.63
Sniper,Saltwater Shiv,57.02
Drow Ranger,Corrosive Weaponry,56.3
Bloodrage,Omnislash,49.16
Mortal Strike,Stifling Dagger,54.62
Phoenix,Heartstopper Aura,56.93
Sniper,Incapacitating Bite,63.66
Blink,Ravage,54.11
Keeper of the Light,Amphibian Rhapsody,48.0
Blade Fury,Rot,59.37
Jakiro,Burning Spear,43.67
Omnislash,Great Cleave,50.95
Terrorblade,Empower,67.16
Lone Druid,Bash of the Deep,51.91
Clinkz,Bash of the Deep,48.3
Enchant Totem,Stifling Dagger,44.04
Centaur Warrunner,Heartstopper Aura,58.51
Techies,Bloodlust,55.53
Bloodrage,Finger of Death,42.31
Overload,Arc Lightning,52.14
Grappling Claw,Unknown Ability #1520,51.18
Aftershock,Shrapnel,58.89
Midnight Pulse,Rearm,48.18
Skywrath Mage,Rearm,45.82
Timber Chain,Chakram,45.71
Slark,Omnislash,41.63
Arc Warden,Arc Lightning,53.43
Overcharge,Relocate,41.38
Electric Vortex,Black Hole,49.14
Jakiro,Marksmanship,45.57
Aftershock,Ice Vortex,59.18
Jingu Mastery,Wukong's Command,45.14
Enchant,Nature's Attendants,54.88
Fortune's End,False Promise,55.0
Rearm,Shrapnel,49.13
Nature's Grasp,Leech Seed,55.34
Powershot,Assassinate,48.15
Centaur Warrunner,Berserker's Blood,57.95
Ensnare,Song of the Siren,46.94
Lunar Orbit,Grow,54.15
Keeper of the Light,Overload,55.58
Io,Relocate,43.76
Shadow Fiend,Bloodrage,53.83
Stifling Dagger,Wall of Replica,46.93
Vengeance Aura,Chaotic Offering,71.05
Frostbite,Cold Feet,54.82
Tidebringer,Grow,46.49
Shrapnel,Take Aim,47.91
Focus Fire Facet,Time Lock,46.15
Stinger,Enchant Totem,50.77
Sharpshooter,Acorn Shot,48.68
Medusa,Marksmanship,53.52
Shadow Fiend,Frost Arrows,56.17
Skywrath Mage,Frostbite,51.76
Sanity's Eclipse,Essence Flux,50.22
Shadow Fiend,Immaterial,66.37
Dead Shot,The Calling,47.35
Unknown Ability #1518,Unknown Ability #1520,49.12
Omnislash,Tree Grab,52.33
Tame the Beasts,Cloak and Dagger,49.67
Arc Warden,Time Lock,46.0
Slark,Blink Strike,49.56
Focus Fire Facet,Headshot,38.22
Pulverize,Blink,58.13
Lina,Battle Hunger,50.33
Morphling,Laguna Blade,44.77
Thunder Clap,Primal Split,48.78
Jakiro,Frost Arrows,44.42
Centaur Warrunner,Kraken Shell,46.43
Astral Spirit,Tidebringer,53.02
Heartstopper Aura,Infest,64.35
Nightmare,Static Link,44.62
Dazzle,Bash of the Deep,46.52
Centaur Warrunner,True Form,57.3
Medusa,Immaterial,63.6
Jakiro,Headshot,44.94
Muerta,Meld,52.36
Ancient Apparition,Impetus,43.47
Gravekeeper's Cloak,Summon Familiars,52.7
Troll Warlord,Time Lock,45.5
Monkey King,Empower,68.17
Cold Embrace,Winter's Curse,49.66
Light Strike Array,Cloak and Dagger,57.47
Shukuchi,Geminate Attack,53.62
Rubick,Laguna Blade,50.68
Aftershock,Scream Of Pain,56.11
Pulverize,Blade Fury,57.37
Razor,Arc Lightning,57.82
Strafe,Omnislash,43.99
Dragon Knight,Counter Helix,65.08
Omniknight,Blade Fury,57.73
Tether,Relocate,48.29
Soul Rip,Flesh Golem,49.89
Monkey King,Great Cleave,49.2
Shadow Step,Juxtapose,46.47
Batrider,Burning Spear,51.94
Bramble Maze,Shadow Realm,54.67
Alchemist,Nethertoxin,49.32
Clockwerk,Blade Fury,59.73
Jakiro,Poison Attack,49.43
Arctic Burn,Cold Embrace,57.67
Cloak and Dagger,Shadow Strike,53.9
Stifling Dagger,Jinada,52.18
Sniper,Refraction,61.98
Lone Druid,Fury Swipes,53.92
Ravage,Blink,59.91
Blade Fury,Battery Assault,57.27
Phantasm,Mirror Image,53.58
Clinkz,Marksmanship,39.49
Nature's Prophet,Marksmanship,42.73
Nature's Prophet,Meld,50.23
Ogre Magi,True Form,53.94
Queen of Pain,Arc Lightning,49.77
Arctic Burn,Splinter Blast,57.87
Naga Siren,Phantom Rush,51.16
Empower,Skewer,56.38
Windranger,Arc Lightning,51.97
Huskar,Amphibian Rhapsody,48.03
Tinker,Fissure,50.23
Drow Ranger,Immaterial,63.72
Vengeance Aura,Lucent Beam,55.81
Storm Spirit,Aftershock,65.58
Techies,Refraction,62.09
Troll Warlord,Elder Dragon Form,47.67
Rot,Crippling Fear,56.74
Kazurai Katana,Unknown Ability #1518,46.39
Rearm,Split Earth,39.86
Alchemist,Counter Helix,52.68
Sniper,Guardian Sprint,59.67
Hoodwink,Fury Swipes,61.45
Techies,Headshot,46.73
Drow Ranger,Saltwater Shiv,56.21
Oracle,Assassinate,49.41
Centaur Warrunner,Counter Helix,53.41
Ignite,Bloodlust,44.0
Clockwerk,Corrosive Skin,53.88
Alchemist,Great Cleave,50.35
Light Strike Array,Earth Spike,62.97
Techies,Phase Shift,56.03
Ravage,Vengeance Aura,56.5
Ion Shell,Sticky Napalm,50.35
Sniper,Heavenly Jump,59.57
Mana Break,Focus Fire Facet,45.5
Fade Bolt,Arcane Supremacy,45.26
Dazzle,Arc Lightning,52.13
Juggernaut,Phantom Strike,53.92
Arc Warden,Moon Glaives,55.82
Cloak and Dagger,Unstable Concoction,50.36
Razor,Bash of the Deep,58.19
Pulverize,Blink,52.49
Mirana,Mana Break,48.46
Tidehunter,Corrosive Skin,57.14
Necrophos,Pulse Nova,52.62
Viper,Mana Break,47.26
Sniper,Bloodrage,54.42
Windranger,Fury Swipes,60.62
Medusa,Untouchable,52.03
Feast of Souls,Omnislash,44.63
Techies,Immaterial,58.0
Sniper,Immaterial,57.89
Cloak and Dagger,Diabolic Edict,57.42
Techies,Searing Arrows,54.2
Jakiro,Mana Break,53.0
Vengeance Aura,Chain Frost,65.47
Invoker,Rearm,41.73
Dawnbreaker,Celestial Hammer,50.24
Mind Flare,Finger of Death,41.83
Drow Ranger,Incapacitating Bite,60.1
Mirana,Psi Blades,48.8
Nightmare,Focus Fire Facet,44.23
Pulverize,Burrowstrike,55.66
Medusa,Corrosive Weaponry,59.28
Rubick,Powershot,46.99
Windranger,Mana Break,52.53
Techies,Doppelganger,57.11
Mirana,Arc Lightning,49.64
Omnislash,Tricks of the Trade,43.86
Slark,Focus Fire Facet,36.87
Jakiro,Entangle,47.1
Warlock,Vengeance Aura,70.29
Mana Break,Mirror Image,54.35
Feast of Souls,Marksmanship,46.38
Huskar,Pulse Nova,38.89
Arc Warden,Mana Break,53.14
Mortal Strike,God's Strength,45.89
Burrowstrike,Slithereen Crush,53.51
Drow Ranger,Doppelganger,58.6
Venomancer,Corrosive Weaponry,47.57
Shadow Fiend,Refraction,62.14
Troll Warlord,Psi Blades,50.0
Dragon Knight,Uproar,61.17
Dream Coil,Arc Lightning,50.49
Leshrac,Black Hole,57.42
Huskar,Life Drain,45.26
Juggernaut,Phantom Rush,51.34
Tinker,Powershot,45.5
Shadow Fiend,Marksmanship,57.42
Arena Of Blood,Bulwark,50.73
Gorgon's Grasp,Stone Gaze,47.8
Omniknight,Rot,55.85
Gush,Assassinate,58.54
Hoodwink,Bash of the Deep,55.12
Vengeful Spirit,Time Lock,48.29
Techies,God's Strength,53.55
Centaur Warrunner,Life Break,51.1
Rolling Thunder,Shield Crash,48.9
Hoodwink,Marksmanship,53.68
Medusa,Mirror Image,60.29
Rubick,Assassinate,47.3
Sniper,Reactive Tazer,56.76
Dragon Knight,Berserker's Blood,67.32
Fiery Soul,Quill Spray,55.28
Rot,Pulse Nova,52.33
Arc Warden,Meld,47.91
Shadowraze,Frostbite,48.4
Alchemist,Devour,49.14
Electric Vortex,Freezing Field,51.35
Bloodrage,Bash of the Deep,46.8
Leshrac,Frogstomp,56.16
Blink,Epicenter,50.25
Frogstomp,Rearm,40.64
The Calling,Pierce the Veil,53.69
Battery Assault,Rocket Flare,48.15
Faceless Void,Time Dilation,52.84
Trample,Surge,45.05
Drow Ranger,Inner Beast,53.71
Clinkz,Psi Blades,49.26
Techies,Multishot,49.5
Lifestealer,Berserker's Blood,60.05
Cloak and Dagger,Split Earth,52.85
Medusa,Mana Break,54.59
Primal Beast,Rot,58.56
Infest,Spirits,54.34
Chen,Impetus,43.03
Kez,Tree Grab,51.49
Vengeful Spirit,Psi Blades,52.99
Drow Ranger,Meld,59.2
Terrorblade,Omnislash,49.25
Arc Warden,Fiery Soul,52.49
Grow,Anchor Smash,50.37
Techies,Blade Dance,55.61
Keeper of the Light,Chilling Touch,41.9
Enchant Totem,Meld,40.15
Centaur Warrunner,Storm Surge,50.87
Take Aim,Assassinate,39.9
Jakiro,Impetus,48.25
Monkey King,Atrophy Aura,64.75
Mist Coil,Curse of Avernus,47.0
Boundless Strike,Wukong's Command,48.75
Corrosive Weaponry,Focus Fire Facet,44.25
Sniper,Feast of Souls,52.5
Battle Hunger,Sticky Napalm,48.62
Sniper,Dark Ascension,58.65
Stifling Dagger,Impetus,52.38
Slithereen Crush,Blink,57.14
Oracle,Powershot,51.38
Warlock,Spin Web,63.41
Dragon Knight,Eye of the Storm,59.4
Sniper,Searing Arrows,51.76
Hammer of Purity,Grow,46.98
Ogre Magi,Berserker's Blood,64.32
Magnus,Blink,56.28
Troll Warlord,Mana Break,46.73
Bristleback,Corrosive Skin,50.5
Mirana,Meld,42.96
Centaur Warrunner,Eye of the Storm,52.14
Shackles,Cloak and Dagger,61.71
Leshrac,Midnight Pulse,60.61
Pugna,Shackles,52.53
Amphibian Rhapsody,Aftershock,46.21
Bristleback,Dispersion,57.58
Toss,Cloak and Dagger,51.52
Rearm,The Swarm,46.46
Aftershock,Shadow Strike,50.51
Visage,Assassinate,44.7
Razor,Fiery Soul,53.42
Torrent,Frostbite,56.46
Dazzle,Poison Attack,50.89
Blink,Black Hole,53.67
Invoker,Tornado (AD),44.81
Enchant Totem,God's Strength,43.8
Magnus,Rupture,49.62
Nature's Prophet,Corrosive Weaponry,51.65
Ghoul Frenzy,Omnislash,45.43
God's Strength,Tree Grab,51.27
Sniper,Wyrm's Wrath,67.77
Viper,Elder Dragon Form,46.82
Sniper,Mirror Image,63.61
Sniper,Multishot,47.7
Multishot,Gust,48.21
Voodoo Restoration,Tether,61.48
Huskar,Rearm,46.04
Keeper of the Light,Glaives of Wisdom,50.9
Spectral Blade,Wraithfire Blast,44.25
Pulverize,Meat Hook,51.92
Centaur Warrunner,Gravekeeper's Cloak,48.46
Mana Break,Spirit Lance,47.18
Dragon Knight,Rot,64.62
Tidehunter,Grow,47.69
Bodyguard,Tidebringer,54.36
Drow Ranger,Refraction,62.31
Mars,Dispersion,58.87
Dragon Knight,Storm Surge,59.02
Blade Dance,Tidebringer,47.42
Aftershock,Ball Lightning,69.33
Gyrocopter,Elder Dragon Form,54.38
Phase Shift,Exorcism,52.84
Shadow Fiend,Electric Vortex,59.54
Freezing Field,Blink,57.22
Vengeful Spirit,Arc Lightning,49.23
Lina,Fatal Bonds,51.94
Mortal Strike,Meld,44.19
Viper,Marksmanship,43.41
Drow Ranger,Mirror Image,66.15
Terrorblade,Juxtapose,54.78
Drow Ranger,Strafe,55.56
Earthshaker,Impalement Arts,57.77
Viper,Fury Swipes,46.11
Mind Flare,Cloak and Dagger,54.15
Clockwerk,Counter Helix,54.92
Magnus,Blink,55.58
Astral Step,Resonant Pulse,50.91
Sniper,Blade Dance,55.84
Earthshaker,Static Remnant,59.22
Jakiro,Incapacitating Bite,45.97
Monkey King,Phantom Strike,57.4
Jakiro,Bodyguard,55.58
Invoker,Cold Snap (AD),46.88
Kraken Shell,Corrosive Skin,52.6
Strafe,Marksmanship,43.49
Shadow Fiend,Doppelganger,63.28
Pudge,Berserker's Blood,56.92
Stifling Dagger,Infernal Blade,62.66
Jakiro,Inner Beast,50.39
Wraithfire Blast,Cloak and Dagger,59.16
Aftershock,Crypt Swarm,55.5
Poison Sting,Poison Attack,54.86
Juxtapose,Mirror Image,56.43
Hoodwink,Meld,50.13
Viper,Fiery Soul,45.67
Shadow Fiend,Corrosive Weaponry,60.63
